x,y
-35.53,-62.79
-35.41,-62.93
-35.4,-63.19
-35.429,-63.47
-35.299,-63.66
-35.169,-63.72
-35.119,-63.74
-35.13,-63.99
-35.119,-64.02
-35.109,-64.05
-35.09,-64.11
-35.059,-64.22
-35.02,-64.34
-34.97,-64.5
-34.96,-64.52
-34.88,-64.62
-34.85,-64.67
-34.489,-64.85
-34.33,-64.84
-34.19,-65.13
-34.14,-65.19
-34.119,-65.24
-34.039,-65.41
-33.979,-65.54
-33.97,-65.57
-34.01,-65.66
-33.989,-66.02
-33.97,-66.07
-33.95,-66.12
-34.08,-66.3
-34.1,-66.35
-34.14,-66.42
-34.169,-66.44
-34.229,-66.49
-34.28,-66.54
-34.33,-66.6
-34.41,-66.68
-34.549,-66.74
-34.58,-66.75
-34.679,-66.81
-34.72,-66.83
-34.82,-66.9
-34.9,-66.94
-35.059,-67
-35.229,-67.05
-35.28,-67.05
-35.45,-67.01
-35.52,-66.98
-35.72,-66.97
-35.85,-66.73
-36.039,-66.61
-36.08,-66.51
-36.66,-66.6
-36.45,-66.959
-36.419,-67.04
-36.369,-67.19
-36.39,-67.28
-36.38,-67.45
-36.33,-67.58
-36.32,-67.61
-36.309,-67.72
-36.299,-67.8
-36.35,-67.89
-36.39,-67.99
-36.51,-68.11
-36.59,-68.2
-36.789,-68.31
-36.869,-68.4
-37.169,-68.48
-37.289,-68.49
-37.45,-68.56
-37.52,-68.54
-37.59,-68.52
-37.669,-68.48
-37.75,-68.42
-37.76,-68.41
-37.89,-68.24
-37.97,-68.2
-38.1,-68.01
-38.229,-67.83
-38.239,-67.82
-38.47,-67.58
-38.58,-67.57
-38.64,-67.14
-38.65,-67.11
-38.66,-67.08
-38.799,-66.89
-38.82,-66.84
-39.039,-66.59
-39.039,-66.43
-39.22,-66.22
-39.239,-66.11
-39.27,-66.01
-39.44,-65.83
-39.46,-65.7
-39.53,-65.51
-39.559,-65.43
-39.59,-65.37
-39.6,-65.35
-39.63,-65.3
-39.729,-65.19
-39.799,-65.15
-39.85,-65.01
-39.9,-64.94
-39.94,-64.88
-40.049,-64.73
-40.059,-64.72
-40.07,-64.709
-40.09,-64.65
-40.169,-64.41
-40.08,-64.28
-39.869,-64.2
-39.75,-64.07
-39.53,-63.91
-39.33,-63.86
-39.21,-63.78
-39.08,-63.6
-38.85,-63.61
-38.76,-63.59
-38.7,-63.59
-38.609,-63.59
-38.46,-63.7
-38.429,-63.74
-38.299,-63.88
-38.28,-63.93
-38.27,-63.959
-38.25,-64.02
-38.109,-64.18
-37.63,-63.86
-37.679,-63.75
-37.71,-63.7
-37.75,-63.64
-37.84,-63.49
-37.94,-63.38
-37.919,-63.31
-37.89,-63.25
-37.94,-62.93
-37.979,-62.78
-37.979,-62.52
-37.91,-62.49
-37.59,-62.38
-37.4,-62.24
-37.049,-62
-36.84,-61.88
-36.69,-61.93
-36.64,-61.93
-36.46,-61.92
-36.25,-62.03
-36.21,-62.16
-36.1,-62.28
-36.08,-62.34
-35.95,-62.52
-35.94,-62.55
-35.919,-62.61
-37.03,-64.88
-37.549,-65.12
-37.53,-65.29
-37.479,-65.4
-37.179,-65.52
-36.799,-65.33
-36.809,-65.05
-37.489,-64.11
-37.52,-64.05
-37.559,-63.99
-38.08,-64.27
-38.01,-64.44
-37.979,-64.5
-37.97,-64.53
-37.94,-64.62
-37.809,-64.75
-37.25,-64.69
-37.27,-64.44
-37.32,-64.36
-37.41,-64.25
-37.44,-64.18
